                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.61398,                0.51629,                  1.045,                0.76517,                0.69587,                 0.7545,                 0.3623,                 1.8749,                 1.0754,                 2.6541,              0.0010699,              0.0010699,              0.0010699
                     36,                0.60179,                0.51669,                 1.0413,                 0.6769,                0.57564,                0.65354,                0.29261,                 2.0429,                 1.5059,                 2.8072,               0.001059,               0.001059,               0.001059
                     37,                0.59904,                0.51412,                 1.0485,                0.78972,                0.70878,                   0.78,                0.38092,                 1.8125,                  1.036,                 2.6319,              0.0010481,              0.0010481,              0.0010481
                     38,                0.58198,                0.49635,                 1.0366,                 0.7425,                0.68674,                0.74567,                0.34728,                 1.9549,                 1.1452,                 2.7361,              0.0010372,              0.0010372,              0.0010372
                     39,                0.59756,                0.50146,                 1.0456,                0.74902,                0.64986,                  0.715,                0.33865,                   1.91,                 1.1941,                 2.8131,              0.0010264,              0.0010264,              0.0010264
                     40,                0.58493,                0.50414,                 1.0378,                0.69591,                0.67928,                0.71684,                 0.3596,                 1.8256,                 1.5406,                 2.5839,              0.0010155,              0.0010155,              0.0010155
                     41,                0.58491,                0.49139,                 1.0353,                0.75538,                0.75921,                0.78664,                0.38108,                 1.8857,                 1.0327,                 2.6917,              0.0010046,              0.0010046,              0.0010046
                     42,                0.58328,                0.48289,                 1.0307,                0.76978,                0.70741,                0.77506,                0.37875,                 1.8545,                  1.077,                 2.6427,              0.0009937,              0.0009937,              0.0009937
                     43,                0.56139,                0.47699,                 1.0227,                0.73373,                0.69526,                  0.748,                 0.3661,                 1.9191,                 1.2293,                 2.6713,             0.00098282,             0.00098282,             0.00098282
                     44,                0.57088,                 0.4818,                 1.0294,                0.78112,                0.74873,                0.79278,                0.37394,                 1.8404,                0.98211,                 2.6463,             0.00097194,             0.00097194,             0.00097194
                     45,                0.55868,                0.48067,                 1.0221,                0.75401,                0.73548,                0.80182,                0.39665,                 1.8323,                 1.0698,                 2.4616,             0.00096106,             0.00096106,             0.00096106
                     46,                0.56717,                 0.4768,                 1.0294,                0.80517,                0.70792,                0.81462,                0.40146,                 1.8446,                  1.069,                 2.5957,             0.00095018,             0.00095018,             0.00095018
                     47,                0.55477,                0.46016,                 1.0209,                0.70157,                0.71576,                0.73729,                0.37808,                 1.8564,                 1.3689,                 2.6551,             0.00093929,             0.00093929,             0.00093929
                     48,                 0.5565,                0.46225,                 1.0172,                0.77756,                0.73881,                0.80648,                0.41484,                 1.7901,                 1.0168,                 2.5291,             0.00092841,             0.00092841,             0.00092841
                     49,                0.54534,                  0.455,                  1.016,                0.82071,                0.76737,                0.81956,                0.40117,                 1.7869,                0.93747,                 2.6777,             0.00091753,             0.00091753,             0.00091753
                     50,                 0.5542,                0.46114,                 1.0157,                0.77588,                0.65706,                0.76986,                0.37012,                 1.9431,                 1.1572,                 2.7948,             0.00090665,             0.00090665,             0.00090665
                     51,                0.54672,                0.44806,                 1.0121,                 0.7781,                0.70819,                 0.7536,                0.35658,                 1.9941,                 1.0832,                 2.9625,             0.00089576,             0.00089576,             0.00089576
                     52,                0.54561,                0.45853,                 1.0146,                0.81112,                0.78188,                 0.8109,                0.39398,                 1.8367,                0.92563,                 2.7011,             0.00088488,             0.00088488,             0.00088488
                     53,                 0.5394,                0.44634,                 1.0101,                0.76046,                0.71915,                0.76755,                   0.38,                 1.8691,                 1.0518,                 2.6932,               0.000874,               0.000874,               0.000874
                     54,                0.53767,                 0.4494,                 1.0142,                0.71204,                0.68434,                0.74258,                0.36032,                 1.9074,                 1.1741,                 2.7198,             0.00086312,             0.00086312,             0.00086312
                     55,                0.52792,                0.43593,                 1.0048,                 0.7903,                  0.731,                0.79359,                0.39023,                 1.8365,                 1.0061,                 2.7206,             0.00085223,             0.00085223,             0.00085223
                     56,                0.53655,                0.44143,                 1.0088,                0.75262,                0.65546,                0.77642,                0.38968,                 1.7963,                 1.1827,                 2.6324,             0.00084135,             0.00084135,             0.00084135
                     57,                 0.5318,                0.43344,                  1.011,                0.73968,                0.73964,                0.75752,                 0.3736,                 1.8762,                 1.0675,                 2.7003,             0.00083047,             0.00083047,             0.00083047
                     58,                0.51689,                0.42308,                 1.0013,                0.79546,                0.65616,                0.74983,                0.37135,                 1.8659,                 1.1506,                 2.6993,             0.00081959,             0.00081959,             0.00081959
                     59,                 0.5288,                0.42582,                 1.0043,                0.70301,                0.72797,                0.77271,                0.39319,                 1.7665,                 1.0781,                 2.5165,              0.0008087,              0.0008087,              0.0008087
                     60,                0.52104,                0.43031,                 1.0039,                0.76011,                 0.7208,                 0.8212,                0.41261,                 1.7618,                  1.097,                 2.5166,             0.00079782,             0.00079782,             0.00079782
                     61,                0.51058,                0.42601,                0.99911,                0.80595,                0.73384,                 0.7876,                0.38922,                  1.806,                 1.0076,                 2.7427,             0.00078694,             0.00078694,             0.00078694
                     62,                0.52093,                0.42672,                 1.0055,                0.77969,                0.73942,                0.78247,                0.37849,                 1.8604,                 1.0033,                 2.6985,             0.00077606,             0.00077606,             0.00077606
                     63,                0.50179,                0.41591,                0.99054,                0.76976,                0.68052,                0.77969,                 0.3737,                  1.884,                 1.0938,                 2.7055,             0.00076517,             0.00076517,             0.00076517
                     64,                 0.5167,                0.42663,                0.99931,                0.82727,                0.78379,                0.83778,                0.41712,                 1.7809,                0.90331,                 2.5706,             0.00075429,             0.00075429,             0.00075429
                     65,                0.50758,                0.41729,                0.99638,                 0.8372,                0.78329,                0.82941,                0.40893,                 1.8022,                0.91344,                 2.6925,             0.00074341,             0.00074341,             0.00074341
                     66,                0.50695,                0.41197,                 0.9933,                0.80635,                0.76388,                 0.8177,                0.40488,                 1.8329,                0.93054,                 2.6656,             0.00073253,             0.00073253,             0.00073253
                     67,                0.50565,                0.40299,                0.99407,                0.81306,                0.74995,                0.80585,                0.39902,                  1.798,                0.93721,                 2.5799,             0.00072164,             0.00072164,             0.00072164
                     68,                 0.5028,                0.39909,                0.99361,                0.78824,                 0.7116,                0.77931,                0.38796,                  1.878,                  1.034,                 2.7143,             0.00071076,             0.00071076,             0.00071076
                     69,                0.50721,                0.40974,                0.99577,                0.81913,                0.73121,                0.78273,                0.36854,                 1.9815,                0.94537,                 2.9131,             0.00069988,             0.00069988,             0.00069988
                     70,                0.49721,                0.40361,                 0.9911,                0.77879,                0.73246,                0.80118,                0.38594,                  1.868,                 1.0606,                 2.7679,               0.000689,               0.000689,               0.000689
                     71,                0.50203,                0.39756,                0.98999,                0.77245,                0.76017,                0.78691,                0.39685,                 1.8629,                 1.0166,                 2.7018,             0.00067812,             0.00067812,             0.00067812
                     72,                0.49709,                0.39839,                0.98917,                0.80503,                0.75128,                0.80456,                0.39411,                 1.8988,                 0.9175,                 2.7525,             0.00066723,             0.00066723,             0.00066723
                     73,                0.49071,                0.39699,                0.98888,                0.83122,                0.72959,                0.80491,                0.39322,                 1.8974,                0.97306,                 2.7668,             0.00065635,             0.00065635,             0.00065635
                     74,                0.48115,                 0.3873,                0.98636,                0.78478,                 0.7194,                0.77613,                0.39658,                 1.8018,                   1.04,                 2.6279,             0.00064547,             0.00064547,             0.00064547
                     75,                0.47838,                 0.3863,                0.97863,                0.79555,                0.77802,                0.81034,                0.39948,                 1.8042,                   0.95,                 2.6199,             0.00063459,             0.00063459,             0.00063459
                     76,                0.47578,                0.38787,                0.98003,                0.78354,                0.74516,                0.79574,                0.39505,                 1.8669,                 1.0111,                 2.7786,              0.0006237,              0.0006237,              0.0006237
