                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.55866,                0.45704,                 1.0228,                0.80779,                0.71678,                0.79435,                 0.3982,                 1.8409,                 1.0308,                 2.6086,             0.00039155,             0.00039155,             0.00039155
                     36,                0.50336,                0.29338,                0.99886,                0.82541,                0.75613,                0.80977,                0.40832,                 1.7957,                0.99552,                 2.5576,             0.00036011,             0.00036011,             0.00036011
                     37,                0.48293,                0.27258,                0.98571,                0.79141,                0.75942,                0.80128,                0.39355,                 1.8253,                 0.9947,                  2.657,             0.00032867,             0.00032867,             0.00032867
                     38,                0.46767,                0.26042,                0.97822,                0.84541,                0.77903,                0.83193,                0.41408,                 1.8227,                0.88656,                 2.6829,             0.00029723,             0.00029723,             0.00029723
                     39,                0.46208,                  0.257,                0.97277,                0.81503,                0.75316,                0.81449,                0.41696,                 1.7905,                0.95981,                 2.6117,             0.00026579,             0.00026579,             0.00026579
                     40,                0.45502,                  0.251,                0.97225,                 0.8273,                0.72926,                0.78663,                0.38337,                 1.8461,                0.93969,                 2.7423,             0.00023436,             0.00023436,             0.00023436
                     41,                 0.4389,                0.24396,                0.95996,                0.81992,                0.75683,                0.82509,                0.40935,                 1.8274,                0.94652,                 2.6831,             0.00020292,             0.00020292,             0.00020292
                     42,                 0.4268,                0.23412,                 0.9542,                0.83527,                0.78118,                0.83383,                0.42669,                 1.8122,                0.93678,                  2.698,             0.00017148,             0.00017148,             0.00017148
                     43,                0.42092,                0.22969,                0.94725,                0.84154,                 0.7996,                0.84646,                0.41283,                 1.8206,                0.88368,                 2.7243,             0.00014004,             0.00014004,             0.00014004
                     44,                0.41118,                0.22325,                0.94144,                0.82859,                0.82029,                0.85043,                0.43504,                 1.7821,                0.82274,                 2.6801,              0.0001086,              0.0001086,              0.0001086
                     45,                0.40256,                 0.2214,                0.93857,                0.82322,                0.80004,                0.83405,                0.41758,                 1.8434,                0.86678,                 2.7861,             7.7166e-05,             7.7166e-05,             7.7166e-05
